>index	chr	ext_probe_start	ext_probe_stop	lig_probe_start	lig_probe_stop
1	chr6	7541629	7541648	7541756	7541780
2	chr6	7541900	7541921	7542029	7542051
3	chr6	7541535	7541556	7541664	7541686
4	chr6	7541930	7541950	7542058	7542081
5	chr6	7541800	7541820	7541928	7541951
6	chr6	7541676	7541697	7541805	7541827
7	chr6	7542029	7542050	7542158	7542180
8	chr6	7590782	7590801	7590909	7590933
9	chr6	7541750	7541771	7541879	7541901
10	chr6	7590701	7590721	7590829	7590852
11	chr6	7579062	7579083	7579191	7579213
12	chr6	7542912	7542933	7543041	7543063
13	chr6	7588550	7588569	7588677	7588701
14	chr6	7570192	7570211	7570060	7570084
15	chr6	7542517	7542537	7542645	7542668
16	chr6	7542064	7542085	7542193	7542215
17	chr6	7542433	7542453	7542561	7542584
18	chr6	7600181	7600202	7600310	7600332
19	chr6	7542859	7542880	7542988	7543010
20	chr6	7551246	7551265	7551373	7551397
21	chr6	7600095	7600116	7600224	7600246
22	chr6	7597861	7597880	7597988	7598012
23	chr6	7542253	7542272	7542380	7542404
24	chr6	7527114	7527135	7527243	7527265
25	chr6	7527223	7527242	7527350	7527374
26	chr6	7601388	7601409	7601517	7601539
27	chr6	7542146	7542167	7542275	7542297
28	chr6	7549733	7549752	7549601	7549625
29	chr6	7552381	7552400	7552508	7552532
30	chr6	7590370	7590391	7590499	7590521
31	chr6	7601284	7601303	7601411	7601435
32	chr6	7599948	7599967	7600075	7600099
33	chr6	7542788	7542807	7542915	7542939
34	chr6	7596389	7596408	7596516	7596540
35	chr6	7561022	7561041	7561149	7561173
36	chr6	7586729	7586748	7586856	7586880
37	chr6	7585859	7585880	7585988	7586010
38	chr6	7551369	7551388	7551496	7551520
39	chr6	7590574	7590594	7590702	7590725
40	chr6	7545098	7545119	7545227	7545249
41	chr6	7590627	7590647	7590755	7590778
42	chr6	7590471	7590490	7590598	7590622
43	chr6	7602673	7602693	7602801	7602824
44	chr6	7525513	7525532	7525381	7525405
45	chr6	7594254	7594273	7594381	7594405
46	chr6	7548383	7548402	7548510	7548534
47	chr6	7577535	7577556	7577664	7577686
48	chr6	7585968	7585987	7586095	7586119
49	chr6	7542354	7542375	7542483	7542505
50	chr6	7597950	7597969	7598077	7598101
51	chr6	7521832	7521851	7521959	7521983
52	chr6	7522066	7522087	7521936	7521958
53	chr6	7522156	7522175	7522024	7522048
54	chr6	7522260	7522280	7522129	7522152
55	chr6	7522210	7522229	7522337	7522361
56	chr6	7522312	7522332	7522440	7522463
57	chr6	7522547	7522567	7522416	7522439
58	chr6	7522640	7522659	7522508	7522532
59	chr6	7522742	7522762	7522611	7522634
60	chr6	7522849	7522869	7522718	7522741
61	chr6	7522829	7522848	7522956	7522980
62	chr6	7522933	7522953	7523061	7523084
63	chr6	7523167	7523187	7523036	7523059
64	chr6	7523274	7523293	7523142	7523166
65	chr6	7523249	7523270	7523378	7523400
66	chr6	7523355	7523376	7523484	7523506
67	chr6	7523565	7523585	7523434	7523457
68	chr6	7523541	7523560	7523668	7523692
69	chr6	7523647	7523667	7523775	7523798
70	chr6	7523754	7523774	7523882	7523905
71	chr6	7524007	7524028	7523877	7523899
72	chr6	7524134	7524155	7524004	7524026
73	chr6	7524203	7524224	7524073	7524095
74	chr6	7524302	7524322	7524171	7524194
74	chr6	7524302	7524322	7524171	7524194
75	chr6	7524393	7524414	7524263	7524285
76	chr6	7524371	7524392	7524500	7524522
77	chr6	7524479	7524499	7524607	7524630
78	chr6	7524709	7524728	7524577	7524601
79	chr6	7524658	7524678	7524786	7524809
79	chr6	7524658	7524678	7524786	7524809
80	chr6	7524890	7524909	7524758	7524782
81	chr6	7524971	7524991	7524840	7524863
82	chr6	7525078	7525099	7524948	7524970
83	chr6	7525058	7525077	7525185	7525209
83	chr6	7525058	7525077	7525185	7525209
84	chr6	7525314	7525335	7525184	7525206
85	chr6	7525270	7525291	7525399	7525421
86	chr6	7525375	7525396	7525504	7525526
87	chr6	7525601	7525621	7525470	7525493
88	chr6	7525578	7525599	7525707	7525729
89	chr6	7525686	7525706	7525814	7525837
90	chr6	7525911	7525930	7525779	7525803
91	chr6	7526018	7526038	7525887	7525910
92	chr6	7526110	7526129	7525978	7526002
93	chr6	7526069	7526088	7526196	7526220
94	chr6	7526164	7526185	7526293	7526315
95	chr6	7526272	7526292	7526400	7526423
96	chr6	7526500	7526521	7526370	7526392
97	chr6	7526455	7526474	7526582	7526606
97	chr6	7526455	7526474	7526582	7526606
98	chr6	7526536	7526557	7526665	7526687
99	chr6	7526631	7526650	7526758	7526782
99	chr6	7526631	7526650	7526758	7526782
100	chr6	7526736	7526757	7526865	7526887
101	chr6	7526971	7526990	7526839	7526863
102	chr6	7526925	7526946	7527054	7527076
103	chr6	7527022	7527041	7527149	7527173
104	chr6	7527436	7527455	7527304	7527328
105	chr6	7527517	7527536	7527385	7527409
105	chr6	7527517	7527536	7527385	7527409
106	chr6	7527496	7527516	7527624	7527647
107	chr6	7527728	7527749	7527598	7527620
108	chr6	7527835	7527854	7527703	7527727
109	chr6	7527924	7527945	7527794	7527816
110	chr6	7527875	7527896	7528004	7528026
111	chr6	7528092	7528111	7527960	7527984
112	chr6	7528171	7528190	7528039	7528063
113	chr6	7528248	7528269	7528118	7528140
114	chr6	7528203	7528222	7528330	7528354
115	chr6	7528300	7528321	7528429	7528451
116	chr6	7528409	7528428	7528536	7528560
117	chr6	7528643	7528662	7528511	7528535
118	chr6	7528616	7528635	7528743	7528767
119	chr6	7528705	7528725	7528833	7528856
120	chr6	7528787	7528806	7528914	7528938
121	chr6	7529021	7529041	7528890	7528913
122	chr6	7529128	7529148	7528997	7529020
123	chr6	7529229	7529248	7529097	7529121
124	chr6	7529196	7529215	7529323	7529347
125	chr6	7529429	7529448	7529297	7529321
126	chr6	7529401	7529421	7529529	7529552
127	chr6	7529508	7529528	7529636	7529659
128	chr6	7529743	7529764	7529613	7529635
129	chr6	7529723	7529742	7529850	7529874
130	chr6	7529957	7529977	7529826	7529849
131	chr6	7529935	7529956	7530064	7530086
132	chr6	7530012	7530033	7530141	7530163
132	chr6	7530012	7530033	7530141	7530163
133	chr6	7530120	7530140	7530248	7530271
134	chr6	7530227	7530247	7530355	7530378
135	chr6	7530462	7530482	7530331	7530354
136	chr6	7530559	7530578	7530427	7530451
137	chr6	7530663	7530682	7530531	7530555
138	chr6	7530746	7530766	7530615	7530638
139	chr6	7530824	7530844	7530693	7530716
140	chr6	7530931	7530951	7530800	7530823
141	chr6	7530909	7530930	7531038	7531060
142	chr6	7531145	7531164	7531013	7531037
143	chr6	7531120	7531139	7531247	7531271
144	chr6	7531223	7531242	7531350	7531374
145	chr6	7531329	7531348	7531456	7531480
146	chr6	7531415	7531435	7531543	7531566
147	chr6	7531696	7531715	7531564	7531588
148	chr6	7531776	7531796	7531645	7531668
149	chr6	7531750	7531769	7531877	7531901
150	chr6	7531826	7531846	7531954	7531977
151	chr6	7532039	7532058	7531907	7531931
152	chr6	7532010	7532029	7532137	7532161
153	chr6	7532241	7532260	7532109	7532133
154	chr6	7532320	7532340	7532189	7532212
155	chr6	7532401	7532420	7532269	7532293
156	chr6	7532501	7532521	7532370	7532393
157	chr6	7532595	7532615	7532464	7532487
158	chr6	7532696	7532716	7532565	7532588
159	chr6	7532660	7532681	7532789	7532811
160	chr6	7532768	7532788	7532896	7532919
161	chr6	7532983	7533002	7532851	7532875
162	chr6	7533067	7533086	7532935	7532959
163	chr6	7533045	7533066	7533174	7533196
164	chr6	7533123	7533143	7533251	7533274
165	chr6	7533227	7533246	7533354	7533378
166	chr6	7533309	7533328	7533436	7533460
167	chr6	7533536	7533555	7533404	7533428
168	chr6	7533516	7533535	7533643	7533667
169	chr6	7533623	7533642	7533750	7533774
170	chr6	7533728	7533749	7533857	7533879
171	chr6	7533963	7533982	7533831	7533855
172	chr6	7533942	7533961	7534069	7534093
173	chr6	7534163	7534184	7534033	7534055
174	chr6	7534250	7534271	7534120	7534142
175	chr6	7534345	7534365	7534214	7534237
176	chr6	7534324	7534344	7534452	7534475
177	chr6	7534559	7534580	7534429	7534451
178	chr6	7534666	7534686	7534535	7534558
179	chr6	7534773	7534794	7534643	7534665
180	chr6	7534880	7534900	7534749	7534772
181	chr6	7534857	7534878	7534986	7535008
182	chr6	7535092	7535111	7534960	7534984
183	chr6	7535191	7535212	7535061	7535083
184	chr6	7535275	7535294	7535143	7535167
184	chr6	7535275	7535294	7535143	7535167
185	chr6	7535233	7535254	7535362	7535384
